New B12 Name,4 Year Degrees offered?,4 Year vs. Two Year,College Type,State,Distance from NY,Barron's Rating,Website,Grad Rate,Freshman Retention
Academy of Art Univ,1,4 Year,5,CA,,,www.academyart.edu,0.32,0.71
Adelphi Univ,1,4 year,4,NJ,,3,http://www.adelphi.edu/,0.67,0.81
Agnes Scott College,1,4 Year,4,GA,,4,www.agnesscott.edu,0.72,0.83
Albright College,1,4 Year,4,PA,,3,www.albright.edu,0.54,0.71
Alfred Univ,1,4 Year,4,NY,,3,www.alfred.edu,0.62,0.75
Allegheny College,1,4 Year,4,PA,,3,www.allegheny.edu,0.79,0.85
American International College,1,4 Year,4,MA,,2,www.aic.edu,0.45,0.65
American Military Univ,1,4 Year,5,VA,,2,amu.apus.edu,,
American Musical and Dramatic Academy,1,4 Year,4,NY,,,,0.64,0.83
American Public Univ System,1,4 year,5,WV,,2,apus.edu,0.31,0.84
American Univ of DC,1,4 Year,4,DC,,3,WWW.AMERICAN.EDU,0.8,0.88
Amherst College,1,4 Year,4,MA,,4,www.amherst.edu,0.96,0.98
Apex Technical School,6,Vocational/Technical,6,NY,,,,0.62,0.58
Art Institute in NC,0,2 Year,5,,,,,,
ASA College of Advanced Technology,6,Vocational/Technical,6,NY,,,,0.34,
Assumption College,1,4 Year,4,MA,,3,www.assumption.edu,0.73,0.83
Atlanta Technical College,6,Vocational/Technical,6,GA,,,,,
Augustana College-South Dakota,1,4 Year,4,IL,,3,www.augustana.edu,0.78,0.85
Aveda Institute New York,6,Vocational/Technical,6,NY,,,,0.83,
Babson College,1,4 Year,4,MA,,4,www.babson.edu,0.91,0.95
Baldwin-Wallace College,1,4 Year,4,OH,,3,www.bw.edu,0.71,0.79
Barclay College,1,4 Year,4,KS,,2,barclaycollege.edu,0.57,0.57
Bard College,1,4 Year,4,NY,,4,www.bard.edu,0.74,0.88
Barnard College,1,4 Year,4,NY,,4,www.barnard.edu,0.9,0.98
Barry Univ,1,4 Year,4,FL,,3, ,0.39,0.6
Bay Path College,1,4 Year,4,MA,,2,www.baypath.edu,0.56,0.72
Benedict College,1,4 Year,4,SC,,3,,0.29,0.53
Bennett College,1,4 Year,4,NC,,1,www.bennett.edu,0.44,0.61
Bennington College,1,4 Year,4,VT,,4,www.bennington.edu,0.67,0.83
Bentley College,1,4 Year,4,MA,,4,www.bentley.edu,0.87,0.94
Bergen Community College,0,2 Year,3,NJ,,0,,0.25,0.63
Berkeley College-New York City,1,4 Year,5,NY,,2,www.BerkeleyCollege.edu,0.31,0.58
Berklee College of Music,1,4 Year,4,MA,,,www.berklee.edu,0.5,0.8
Bethune-Cookman Univ,1,4 Year,4,FL,,2,www.cookman.edu,0.55,0.63
Bloomsburg Univ of Pennsylvania,1,4 Year,4,PA,,2,bloomu.edu,0.63,0.81
Boricua College,1,2 Year,4,NY,,,boricuacollege.edu,0.58,0.49
Boston College,1,4 Year,4,MA,,4,www.bc.edu,0.91,0.95
Boston Univ,1,4 Year,4,MA,,4,www.bu.edu,0.84,0.93
Bowdoin College,1,4 Year,4,ME,,4,www.bowdoin.edu/,0.93,0.97
Brandeis Univ,1,4 Year,4,MA,,4,www.brandeis.edu/,0.9,0.93
Brookdale Community College,0,2 Year,3,NJ,,0,www.brookdalecc.edu,0.21,0.69
Broward College,0,2 Year,3,FL,,0,broward.edu,0.3,
Brown Univ,1,4 Year,4,RI,,4,www.brown.edu,0.95,0.97
Bryant Univ,1,4 Year,4,RI,,3,www.bryant.edu,0.82,0.9
Bryn Mawr College,1,4 Year,4,PA,,4,www.brynmawr.edu,0.84,0.91
Bucknell Univ,1,4 Year,4,PA,,4,www.bucknell.edu,0.91,0.94
Cairn Univ,1,4 year,4,PA,,2,cairn.edu,0.67,0.75
Canisius College,1,4 Year,4,NY,,3,WWW.Canisius.edu,0.67,0.8
Carleton College,1,4 Year,4,MN,,4,www.carleton.edu,0.92,0.96
Carnegie Mellon Univ,1,4 Year,4,PA,,4,www.cmu.edu/,0.88,0.94
Case Western Reserve Univ,1,4 Year,4,OH,,4,www.case.edu,0.8,0.94
Catholic Univ of America,1,4 Year,4,DC,,3,www.cua.edu,0.69,0.83
Cayuga County Community College,0,2 Year,2,NY,,0,www.cayuga-cc.edu/,0.22,0.56
Cazenovia College,1,4 Year,4,NY,,2,www.cazenovia.edu,0.59,0.72
Centre College,1,4 Year,4,KY,,4,www.centre.edu,0.82,0.9
Chaminade Univ of Honolulu,1,4 Year,4,HI,,2,chaminade.edu,0.37,0.73
Chatham Univ,1,4 Year,4,PA,,3,www.chatham.edu,0.5,0.77
Cheyney Univ,1,4 Year,4,PA,,2,,0.24,0.54
Choate Rosemary Hall PG Year,,,,,,,,,
Claremont McKenna College,1,4 Year,4,CA,,4,www.claremontmckenna.edu/,0.93,0.96
Clark Atlanta Univ,1,4 Year,4,GA,,1,www.cau.edu,0.39,0.65
Clark Univ,1,4 Year,4,MA,,4,www.clarku.edu,0.81,0.89
Clarkson Univ,1,4 Year,4,NY,,3,www.clarkson.edu,0.73,0.87
Clemson Univ,1,4 Year,3,SC,,4,www.clemson.edu,0.83,0.92
Clinton Community College-New York,0,2 Year,2,NY,,0,www.clinton.edu,0.18,0.53
Colby College,1,4 Year,4,ME,,4,www.colby.edu,0.93,0.93
Colgate Univ,1,4 Year,4,NY,,4,www.colgate.edu,0.91,0.93
College of Central Florida,0,2 Year,3,FL,,0,cf.edu,0.41,
College of Mount St Vincent,1,4 Year,4,NY,,4,www.mountsaintvincent.edu,0.52,0.67
College of New Rochelle,0,4 year,3,NY,,3,www.cnr.edu,0.29,0.62
College of St Benedict,1,4 Year,4,MN,,4,www.csbsju.edu,0.82,0.89
College of the Holy Cross,1,4 Year,4,MA,,4,www.holycross.edu,0.91,0.95
College of William and Mary,1,4 Year,3,VA,,4,www.wm.edu,0.9,0.96
Colorado College,1,4 Year,4,CO,,4,www.coloradocollege.edu,0.87,0.96
Colorado Technical Univ-Colorado Springs,0,4 Year,5,CO,,,coloradotech.edu,0.16,0.41
Columbia Univ,1,4 Year,4,NY,,4,www.columbia.edu,0.93,0.97
Community College Baltimore County,0,2 Year,3,MD,,0,ccbcmd.edu,0.14,0.52
Community College of Baltimore County,0,2 Year,3,MD,,0,,,
Community College of Philadelphia,0,2 Year,3,PA,,0,www.ccp.edu,0.1,0.51
Concordia Univ-Portland,1,4 year,4,NY,,3,concordia-ny.edu,0.44,0.69
Connecticut College,1,4 Year,4,CT,,4,www.connecticutcollege.edu,0.84,0.88
Cooper Union,1,4 year,4,NY,,4,www.cooper.edu,0.82,0.96
Coppin State Univ,1,4 Year,3,MD,,3,www.coppin.edu,0.14,0.61
Cornell Univ,1,4 Year,4,NY,,4,www.cornell.edu,0.93,0.97
Craven Community College,0,2 Year,3,NC,,0,cravencc.edu,0.14,0.61
Creighton Univ,1,4 Year,4,NE,,3,www.creighton.edu,0.76,0.91
Culinary Institute of America,6,Vocational/Technical,6,NY,,,ciachef.edu,0.79,
CUNY 2 Year- Unknown,0,2 year,1,NY,,0,,,
CUNY 4 Year- Unknown,1,4 Year,1,NY,,,,,
CUNY Baruch College,1,4 Year,1,NY,,4,www.baruch.cuny.edu,0.67,0.88
CUNY Borough of Manhattan Community College,0,2 Year,1,NY,,0,www.bmcc.cuny.edu/,0.15,0.64
CUNY Bronx Community College,0,2 Year,1,NY,,0,www.bcc.cuny.edu,0.11,0.58
CUNY Brooklyn College,1,4 Year,1,NY,,3,www.brooklyn.cuny.edu,0.51,0.86
